duplicate_group,member_asset_ids,relationship,evidence_basis,confidence,notes
IRE-FLORAL-OMAMORI-SLEEVE,TAT-IRE-003|TAT-IRE-004|TAT-IRE-005|TAT-IRE-006|TAT-IRE-007,alternate-view,closer-visual-review; consecutive irezumi page indices; overlapping floral/omamori/wind-bar legacy alts,high,"Same full-color floral/omamori sleeve, alternate views. I03 and I07 are separately present as current-repo files."
IRE-FROG,TAT-IRE-021|TAT-IRE-022,alternate-view,closer-visual-review; identical frog legacy alts,high,"Same frog tattoo, alternate views."
IRE-DRAGON-DARUMA-SLEEVE,TAT-IRE-028|TAT-IRE-029|TAT-IRE-030,alternate-view,closer-visual-review; identical dragon/Daruma sleeve legacy alts,high,"Same dragon/Daruma sleeve, alternate views. Legacy alt spells Daruma as Darma."
IRE-SAMURAI-CROW-SLEEVE,TAT-IRE-032|TAT-IRE-033,alternate-view,closer-visual-review; identical samurai/crow legacy alts,high,"Same samurai/crow sleeve, alternate views."
IRE-SNAKE-CAT-SLEEVE,TAT-IRE-034|TAT-IRE-035,alternate-view,closer-visual-review; identical snake-versus-cat legacy alts,high,"Same snake/cat sleeve, alternate views. Both URLs also appear on the legacy homepage."
IRE-KITSUNE-MOTH-PEONY-SLEEVE,TAT-IRE-036|TAT-IRE-037|TAT-IRE-038|TAT-IRE-039,alternate-view,closer-visual-review; identical kitsune/moth/peony legacy alts,high,"Same kitsune/moth/peony sleeve, alternate views."
IRE-SNAKE-PEONY-SLEEVE,TAT-IRE-042|TAT-IRE-043,alternate-view,closer-visual-review; identical snake/peony legacy alts,high,"Same snake/peony sleeve, alternate views. I43 also appears on the legacy homepage; I42 does not."
IRE-HANNYA-HAND,TAT-IRE-045|TAT-IRE-046,alternate-view,closer-visual-review; identical hannya-hand legacy alts,high,"Same hannya hand/forearm tattoo, alternate views."
IRE-TIGER,TAT-IRE-065|TAT-IRE-066,alternate-view,closer-visual-review; identical tiger/finger-waves legacy alts,high,"Same tiger tattoo, alternate views. I65 also appears on the legacy homepage; I66 does not."
IRE-SLEEVE-73-74,TAT-IRE-073|TAT-IRE-074,alternate-view,closer-visual-review; consecutive late-page gallery files,high,"Same sleeve, alternate views. Legacy alts differ (koi vs frog/koi) and are not treated as separate works."
IRE-FLOWER-SLEEVE-87-88,TAT-IRE-087|TAT-IRE-088,alternate-view,closer-visual-review; paired flower-sleeve legacy alts,high,"Same flower sleeve, alternate views."
IRE-LIKELY-11-12,TAT-IRE-011|TAT-IRE-012,likely-same-work,closer-visual-review; similar geisha-namakubi alts; no stronger source metadata,low,Uncertain. Marked likely-same-work only. I12 alt adds a Hannya mention; that is not treated as proof.
IRE-LIKELY-56-57,TAT-IRE-056|TAT-IRE-057,likely-same-work,closer-visual-review; identical dragon-and-flames legacy alts; no stronger source metadata,low,Uncertain. Identical alts are supportive but not proof of same work.
COL-SLEEVE-01-03,TAT-COL-001|TAT-COL-002|TAT-COL-003,alternate-view,closer-visual-review; consecutive camera-roll filenames IMG_2139/2141/2143,high,"Same full sleeve, alternate views. Color-page alts are filenames only."
BNG-HEAD-09-10,TAT-BNG-009|TAT-BNG-010,alternate-view,closer-visual-review,high,"Same head tattoo, alternate views. BNG alts are filenames only."
BNG-SNAKE-BACK-04-30,TAT-BNG-004|TAT-BNG-030,contextual-view,"closer-visual-review; pair notation B04-B30, not an inclusive range — a range would collide with the separately named B09-B10 head-tattoo group",high,"Same snake back tattoo, alternate/contextual views. B30 is a later Squarespace upload batch than B04. Interpreted as the pair B04 and B30 because an inclusive B04-through-B30 range would absorb B09-B10, which the closer separately identified as a head tattoo."
FLA-SHEET-07-11,FLA-007|FLA-011,exact-depicted-sheet-repeat,closer-visual-review; different source URLs depicting the same flash sheet,high,"Exact depicted-sheet repeat via different source URLs, not a repeated URL."
FLA-SHEET-08-14,FLA-008|FLA-014,exact-depicted-sheet-repeat,closer-visual-review; different source URLs depicting the same flash sheet,high,"Exact depicted-sheet repeat via different source URLs, not a repeated URL."
ART-CTX-02-12,ART-002|ART-012,likely-same-work,"closer-visual-review; pair notation A02-A12, not an inclusive range — a range would absorb A03-A11 and collide with A07 in CROSS-F19-A07-A30",low,"Likely the same work/context. Recorded as the pair ART-002 and ART-012, not ART-003 through ART-011. Generic repeated art alts do not prove identity. A07 remains in CROSS-F19-A07-A30."
ART-CTX-20-22,ART-020|ART-022,likely-same-work,"closer-visual-review; pair notation A20-A22, not an inclusive range",low,"Likely the same work/context. Recorded as the pair ART-020 and ART-022, not ART-021. Generic repeated art alts do not prove identity."
CROSS-F19-A07-A30,FLA-019|ART-007|ART-030,same-work-cross-category,closer-visual-review; A30/F19 camera-roll neighbors IMG_6563/IMG_6564,high,Flash F19 and art A07/A30 depict the same artwork across categories. A07-A30 also reviewed as the same work.
MER-GWAP-GEISHA-PRINT,MER-PRT-001|MER-PRT-002|MER-PRT-003,alternate-view,same Squarespace product page /store/p/gwap-geisha-print,high,Three product images of Gwap Geisha Print. Not a visual identity claim beyond the shared PDP.
MER-KO-OMOTE-SHIRT,MER-SHT-001|MER-SHT-002|MER-SHT-003,alternate-view,same Squarespace product page /store/p/ko-omote-t-shirt,high,Three product images of Ko Omote T-Shirt. Not a visual identity claim beyond the shared PDP.
