asset_id,source_url,source_routes,source_category,source_subcategory,page_order,source_filename,source_dimensions,legacy_alt_or_description,duplicate_group,duplicate_relationship,current_repo_match,current_match_basis,proposed_local_filename,rights_status,technical_reuse_status,notes
TAT-IRE-001,https://images.squarespace-cdn.com/content/v1/65979327ceca8e3c423a32ea/2bb6a161-5e76-4343-b87b-eef28f007367/IMG_8375.jpeg,/irezumi,tattoo,irezumi,/irezumi:1,IMG_8375.jpeg,3024x4032,Japanese style tattoo crane bird and peony flowers with cherry blossom flowers wind bar background,,unique/no-known-duplicate,,,tat-ire-001-crane-bird-peony-flowers-cherry-blossom-flowers-wind.jpeg,confirmation-required,publicly-fetchable-copy-to-controlled-host,
TAT-IRE-002,https://images.squarespace-cdn.com/content/v1/65979327ceca8e3c423a32ea/34055c45-7d82-4ef4-af1e-5544b31eed2e/IMG_8380.jpeg,/irezumi,tattoo,irezumi,/irezumi:2,IMG_8380.jpeg,3024x4032,"Japanese style tattoo Samurai, dog, cherry blossoms, wind bar background, Irezumi",,unique/no-known-duplicate,,,tat-ire-002-samurai-dog-cherry-blossoms-wind-bar-background.jpeg,confirmation-required,publicly-fetchable-copy-to-controlled-host,
TAT-IRE-003,https://images.squarespace-cdn.com/content/v1/65979327ceca8e3c423a32ea/7f17b854-9d8f-46cf-99b8-b6288ac7d7cb/IMG_6702.jpeg,/irezumi|/,tattoo,irezumi,/irezumi:3|/:4,IMG_6702.jpeg,4284x5712,"Japanese style tattoo, peony, flower, cherry blossom, flowers, wind bar background",IRE-FLORAL-OMAMORI-SLEEVE,canonical; confidence=high; visual-only,portfolio/irezumi-peony-sleeve.jpg,prior-byte-match-receipt,tat-ire-003-peony-flower-cherry-blossom-flowers-wind-bar-background.jpeg,confirmation-required,publicly-fetchable-copy-to-controlled-host,"Current-repo file present locally; this-session byte compare to ?format=1500w was not run because media download is forbidden. Local portfolio/irezumi-peony-sleeve.jpg is 347094 bytes, 1500x2000, sha256=e407c713b1b54572310adfa15746c75582987c2c0e9f8fcb74a49c4bffad7550. Unique peony/wind-bar legacy alt. Local file is 1500x2000 from a 4284x5712 source, the expected format=1500w geometry. Also present on legacy homepage `/`. Work group IRE-FLORAL-OMAMORI-SLEEVE: Same full-color floral/omamori sleeve, alternate views. I03 and I07 are separately present as current-repo files."
TAT-IRE-004,https://images.squarespace-cdn.com/content/v1/65979327ceca8e3c423a32ea/ac29f26f-8322-4d56-8bba-0f1c336b2a2c/IMG_6693.jpeg,/irezumi|/,tattoo,irezumi,/irezumi:4|/:3,IMG_6693.jpeg,4284x5712,"Japanese style tattoo, peony, flowers, lotus flowers, cherry blossom, flowers, wind bar background irezumi Tattoo",IRE-FLORAL-OMAMORI-SLEEVE,alternate-view; confidence=high; visual-only,,,tat-ire-004-peony-flowers-lotus-flowers-cherry-blossom-flowers-wind.jpeg,confirmation-required,publicly-fetchable-copy-to-controlled-host,"Also present on legacy homepage `/`. Work group IRE-FLORAL-OMAMORI-SLEEVE: Same full-color floral/omamori sleeve, alternate views. I03 and I07 are separately present as current-repo files."
TAT-IRE-005,https://images.squarespace-cdn.com/content/v1/65979327ceca8e3c423a32ea/44eaec42-3b5a-4afe-bdaf-e4cb0962e4d3/IMG_6699.jpeg,/irezumi|/,tattoo,irezumi,/irezumi:5|/:5,IMG_6699.jpeg,4284x5712,"Japanese style tattoo, peony, flowers, lotus flowers, cherry blossom, flowers, wind bar background irezumi Tattoo",IRE-FLORAL-OMAMORI-SLEEVE,alternate-view; confidence=high; visual-only,,,tat-ire-005-peony-flowers-lotus-flowers-cherry-blossom-flowers-wind.jpeg,confirmation-required,publicly-fetchable-copy-to-controlled-host,"Also present on legacy homepage `/`. Work group IRE-FLORAL-OMAMORI-SLEEVE: Same full-color floral/omamori sleeve, alternate views. I03 and I07 are separately present as current-repo files."
TAT-IRE-006,https://images.squarespace-cdn.com/content/v1/65979327ceca8e3c423a32ea/e8f1bacc-778f-41df-9bd2-d838031e542a/IMG_6695.jpeg,/irezumi,tattoo,irezumi,/irezumi:6,IMG_6695.jpeg,4284x5712,"Japanese style tattoo, peony, flowers, lotus flowers, cherry blossom, flowers, wind bar background irezumi Tattoo",IRE-FLORAL-OMAMORI-SLEEVE,alternate-view; confidence=high; visual-only,,,tat-ire-006-peony-flowers-lotus-flowers-cherry-blossom-flowers-wind.jpeg,confirmation-required,publicly-fetchable-copy-to-controlled-host,"Work group IRE-FLORAL-OMAMORI-SLEEVE: Same full-color floral/omamori sleeve, alternate views. I03 and I07 are separately present as current-repo files."
TAT-IRE-007,https://images.squarespace-cdn.com/content/v1/65979327ceca8e3c423a32ea/3c0bb6cb-1b0e-49a9-8ab4-41b2284ebec3/IMG_6697.jpeg,/irezumi|/,tattoo,irezumi,/irezumi:7|/:6,IMG_6697.jpeg,4284x5712,"Japanese style tattoo, Oma Mori cherry blossom tattoo with irezumi style wine bar background",IRE-FLORAL-OMAMORI-SLEEVE,alternate-view; confidence=high; visual-only,portfolio/irezumi-omamori-sleeve.jpg,prior-byte-match-receipt,tat-ire-007-omamori-cherry-blossom-wind-bar-background.jpeg,confirmation-required,publicly-fetchable-copy-to-controlled-host,"Current-repo file present locally; this-session byte compare to ?format=1500w was not run because media download is forbidden. Local portfolio/irezumi-omamori-sleeve.jpg is 447546 bytes, 1500x2000, sha256=22c79f7625752b6b7845de8c431b5388e4de4f500abf30d96ee8eb306d4c9bfa. Unique Oma Mori/omamori legacy alt. Local file is 1500x2000 from a 4284x5712 source. Also present on legacy homepage `/`. Known future label correction: Oma Mori -> omamori. Known future label correction: wine/win bar -> wind-bar. Work group IRE-FLORAL-OMAMORI-SLEEVE: Same full-color floral/omamori sleeve, alternate views. I03 and I07 are separately present as current-repo files."
TAT-IRE-008,https://images.squarespace-cdn.com/content/v1/65979327ceca8e3c423a32ea/f9f9483b-b9f6-46b9-a251-88b746495eed/IMG_8815.jpeg,/irezumi,tattoo,irezumi,/irezumi:8,IMG_8815.jpeg,4284x5712,Japanese style irezumi tattoo chef Frog ukiyoe yokia,,unique/no-known-duplicate,,,tat-ire-008-chef-frog-ukiyoe-yokia.jpeg,confirmation-required,publicly-fetchable-copy-to-controlled-host,
TAT-IRE-009,https://images.squarespace-cdn.com/content/v1/65979327ceca8e3c423a32ea/14783567-71d5-4942-a9cf-c09d47315cfa/Untitled_Artwork.png,/irezumi,tattoo,irezumi,/irezumi:9,Untitled_Artwork.png,2550x3300,Japanese style octopus tattoo with human skull cap irezumi ukiyoe yokai,,unique/no-known-duplicate,,,tat-ire-009-octopus-human-skull-cap-ukiyoe-yokai.png,confirmation-required,publicly-fetchable-copy-to-controlled-host,
TAT-IRE-010,https://images.squarespace-cdn.com/content/v1/65979327ceca8e3c423a32ea/bfae1e44-7e4a-42d9-86fc-07299100f02d/624CACD3-2CB2-4BC1-B5D7-A7BD083471BA.jpeg,/irezumi,tattoo,irezumi,/irezumi:10,624CACD3-2CB2-4BC1-B5D7-A7BD083471BA.jpeg,3467x3467,"Japanese style tattoo, black, and gray hannya mask tattoo ukiyoe irezumi tattoo",,unique/no-known-duplicate,,,tat-ire-010-hannya-mask-ukiyoe.jpeg,confirmation-required,publicly-fetchable-copy-to-controlled-host,
