asset_id,current_alt,proposed_alt,proposed_caption,confidence,notes
TAT-IRE-001,Japanese style tattoo crane bird and peony flowers with cherry blossom flowers wind-bar background,"Color Japanese sleeve with a crane, peonies, cherry blossoms, and black wind bars.",Crane and peony sleeve.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-002,"Japanese style tattoo Samurai, dog, cherry blossoms, wind-bar background, Irezumi","Color sleeve with a samurai dog, cherry blossoms, and black wind bars.",Samurai dog sleeve.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-003,Japanese peony and cherry blossom sleeve with wind-bar background,Color Japanese sleeve with large peonies and cherry blossoms.,"Peony sleeve, upper view.",high,Current alt is already descriptive; suggestion tightens wording or adds a useful caption.
TAT-IRE-004,"Japanese style tattoo, peony, flowers, lotus flowers, cherry blossom, flowers, wind-bar background irezumi Tattoo",Full view of a color peony and cherry blossom sleeve.,"Peony sleeve, outer view.",high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-005,"Japanese style tattoo, peony, flowers, lotus flowers, cherry blossom, flowers, wind-bar background irezumi Tattoo",Close view of peonies and floral details on a color sleeve.,"Peony sleeve, lower view.",high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-006,"Japanese style tattoo, peony, flowers, lotus flowers, cherry blossom, flowers, wind-bar background irezumi Tattoo",Alternate view of a color peony sleeve with an omamori charm.,Peony and omamori sleeve.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-007,Japanese omamori and cherry blossom sleeve with wind-bar background,"Close view of an omamori charm, blossoms, and wind bars.",Omamori sleeve detail.,high,Current alt is already descriptive; suggestion tightens wording or adds a useful caption.
TAT-IRE-008,Japanese style irezumi tattoo chef Frog ukiyoe yokai,Color frog chef holding a knife on the upper arm.,Frog chef.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-009,Japanese style octopus tattoo with human skull cap irezumi ukiyoe yokai,Color skull-headed octopus figure in a robe.,Skull-headed octopus.,medium,"The skull-headed creature and robe are visible, but the exact character or folklore reference is unclear."
TAT-IRE-010,"Japanese style tattoo, black and grey hannya mask tattoo ukiyoe irezumi tattoo",Black and grey hannya mask on the thigh.,Hannya mask.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-011,"Japanese style Tattoo Geisha namakubi severed head, dark art, black Work, black and grey irezumi tattoo",Black and red severed geisha head on the thigh.,Geisha namakubi.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-012,"Japanese style Tattoo Geisha namakubi severed head, dark art, black Work, black and grey irezumi tattoo Hannya mask irezumi tattoo",Black and red geisha head and hannya mask tattoos on both thighs.,Geisha and hannya pair.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-013,Japanese style Tattoo crane Bird with cherry blossom flowers,Black and red crane with cherry blossoms on the forearm.,Crane and cherry blossoms.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-014,"Japanese style tattoo, Dragon Cover Up, full color, tattoo, black background",Color Japanese dragon cover-up across the upper thigh.,Dragon cover-up.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-015,"Fu dog, Tattoo kneecap full color irezumi Japanese style Tattoo",Color guardian lion tattoo centered on the knee.,Guardian lion knee tattoo.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-016,"Japanese style tattoo, peony flower full color irezumi Tattoo",Red peony tattoo across the shoulder.,Peony shoulder tattoo.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-017,"Japanese style dragon, chest tattoo, Japanese style clouds irezumi Tattoo",Black and red Japanese dragon head across the chest.,Dragon chest tattoo.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-018,Japanese style tattoo chrysanthemum flower hannya Japanese mask irezumi Tattoo,Black and red hannya masks surrounding a chrysanthemum on the forearm.,Hannya masks and chrysanthemum.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-019,"Japanese style tattoo, black and grey dragon coiled around a sword irezumi Tattoo",Linework Japanese dragon coiled around a sword on the arm.,Dragon and sword.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-020,"Japanese style Tattoo, black and grey tiger irezumi Tattoo",Black and grey Japanese tiger on the forearm.,Tiger forearm tattoo.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-021,Japanese style Tattoo full color Frog irezumi Tattoo,Color frog procession tattoo.,Frog procession.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-022,Japanese style Tattoo full color Frog irezumi Tattoo,Alternate view of a color frog procession tattoo.,"Frog procession, alternate view.",high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
TAT-IRE-023,"Japanese style Tattoo Koi fish peony flower Japanese style finger, Wave water irezumi tattoo",Black and red koi with a peony and waves.,Koi and peony.,high,Legacy alt is repetitive or keyword-stuffed; proposed wording follows the visible image.
